id,title,ISBN13,pages,authors,publisher,date
986,A Friend Of Nikki Sunshine's,9781412050364,226,Java Bomani,Trafford Publishing,
987,How Tomcat Works: A Guide to Developing Your Own Java Servlet Container,9780975212806,458,"Budi Kurniawan,Paul Deck",BrainySoftware,April 1st 2004
988,"Clojure Grundlagen, Concurrent Programming, Java",9783898646840,344,"Stefan Kamphausen,Tim Oliver Kaiser",dpunkt-Verl,2010
989,More Java Gems,9780521774772,504,Dwight Deugo,Cambridge University Press,January 28th 2000
990,Java Developers Guide: With CDROM,9781575210698,729,"Jamie Jaworski,Sams Net Development Group",Sams,July 21st 1996
991,Java Deployment with Jnlp and Webstart,9780672321825,512,Mauro Marinilli,Sams Publishing,September 29th 2001
992,Java Cryptography Extensions: Practical Guide for Programmers,9780127427515,176,Jason Weiss,Morgan Kaufmann Publishers,March 12th 2004
993,Java Entwicklung Mit Eclipse 3,9783898642811,,Berthold Daum,,
994,Professional Java XML Programming with Servlets and JSP,9781861002853,772,"Sasha Nakhimovksy,Tom Myers,Sasha Nakhimovksy",Wrox Press,December 1st 1999
995,"Java Masterclass: Java Exceptions, Assertions and Logging",9780957410541,162,Sam Alapati,P8tech,October 11th 2013
996,Beginning Java EE 6 with GlassFish 3 (Expert's Voice in Java Technology),,536,Antonio Goncalves,Apress,August 24th 2010
997,JAVA 2 Programmazione avanzata,9788883010644,160,Carlo Pelliccia,Edizioni Master,April 1st 2003
998,Java Reference Library on the Web,9781565923591,4,"David Flanagan,Patrick Niemeyer,Josh Peck,David Flanagan,Mark Grand",O'Reilly Media,June 8th 1997
999,Java Application Frameworks,9780471329305,410,Darren Govoni,John Wiley & Sons,June 25th 1999
1000,Mastering Java 2: J2se 1.4 [With CDROM],9780782140224,800,John Zukowski,Sybex,April 24th 2002
1001,Java Ee 7 Performance Tuning and Optimization,9781782176428,478,Osama Oransa,Packt Publishing,June 14th 2014
1002,Java Script Development,9780127100050,600,John R. Vacca,Academic Press,January 1st 1997
1003,Arquitectura Java Solida,9781291167665,404,Cecilio Álvarez Caules,Lulu.com,November 2nd 2012
1004,The Art of Image Processing with Java,9781568817170,343,Kenny A. Hunt,AK Peters,November 8th 2010
1005,Java Event Handling [With CDROM],9780130418029,624,Grant Palmer,Prentice Hall PTR,August 8th 2001
1006,Professional WebObjects 5.0 with Java,9781861004314,488,"Thomas Termini,Ben Galbraith",Wrox Press,October 23rd 2001
1007,Jogja The Real Java,,,Tourism and Culture Office Yogyakarta,"Tourism and Culture Office, Yogyakarta City Government",2011
1007,ACE Your Java Interview,,176,Jennifer Fu,Tech Collections,April 26th 2013
1009,Java and Mac OS X,9780470525111,492,T. Gene Davis,John Wiley & Sons,May 3rd 2010
1009,Flex 3 with Java,9781847195340,304,Satish Kore,Packt Publishing,June 30th 2009
1011,Programmazione in Java: seconda edizione,9788850330690,536,"Roberto Bruni,Andrea Corradini,Vincenzo Gervasi",Apogeo,September 2011
1012,Programming with Alice and Java,9780321512093,360,"John   Lewis,Peter DePasquale",Addison-Wesley,February 22nd 2008
1013,Java 8 Recipes,9781430268277,640,Josh Juneau,Apress,September 13th 2014
1014,Neues in Java 8,,65,Martin Piskernig,,2014
1015,Fundamentals of Java Comprehensive Course,9780619059637,702,"Kenneth A. Lambert,Martin Osborne",Cengage Learning,July 1st 2002
1016,Computing Fundamentals with Java,9781887902472,720,Rick Mercer,Franklin Beedle & Associates,June 1st 2003
1017,Java Des Guignols,9782070483846,191,John Godey,Gallimard Education,December 1st 1970
1018,Java Made Simple,9780750653398,208,P.K. McBride,Made Simple Books,February 16th 2001
1019,Laboratorio Di Programmazione In Java,9788850321452,268,"Paolo Coppola,Stefano Mizzaro",Apogeo,2004
1020,Applied Evolutionary Algorithms in Java,9781468495263,219,Robert Ghanea-Hercock,Springer,July 24th 2012
1021,Software Development In Java,9780929306261,462,"Sartaj Sahni,Raj Kumar",WWW.Silicon-Press.com,January 1st 2003
1022,COBOL Programmers Swing with Java,9780521546843,282,"E. Reed Doke,Bill C. Hardgrave,Richard A.  Johnson",Cambridge University Press,December 28th 2004
1023,Puzzles in Java: Shaping Beginners,9781466988859,140,Kathiravan Udayakumar,Trafford Publishing,May 14th 2013
1024,Domino Development with Java,9781930110045,472,Anthony S. Patton,Manning Publications,September 1st 2000
1025,Programacion Web Java,9789875263918,,Andres Martinez Quijano,M.P. Ediciones,
1026,The Spy in the Java Sea,9780451029812,,Bill S. Ballinger,"Penguin Group USA, Inc",1966
1027,Compiler Design in Java,9781558605602,416,Allen I. Holub,Morgan Kaufmann Publishers,April 30th 2008
1028,Java Programming + CD,9780393948141,0,K.N. King,W. W. Norton & Company,November 1st 2001
1029,Java Programming. Joyce Farrell,9781285081977,1084,Joyce Farrell,Thomson South-Western,March 1st 2013
1030,Object-Oriented Programming with Java,9780763714352,608,"Barry Holmes,Daniel T. Joyce",Jones & Bartlett Publishers,October 4th 2000
1031,Imbibing Java Web Services,,412,Srinivas Mudunuri,CreateSpace,May 5th 2012
1032,Curso Prático de Java,,426,"Carla Jesus,Ferrão, José M.",FCA - Editora de Informática,January 2013
1033,Java Programming Explorer,9781883577810,820,Neil    Bartlett,Coriolis Group Books,January 1st 1996
1034,Java and J2EE Questions and Answers,,586,Suresh Basandra,Basandra Books,January 14th 2012
1035,Candi in Central Java Indonesia,,129,"Tetty Latupapua,Molly Bondan,Markoes Djajadiningrat",Provincial Government of Central Java Indonesia,November 1982
1036,Java Programming Step-by-Step,,508,Tony Bevis,Ability First Limited,January 1st 2012
1037,Technical Screening - Java Developers,,37,Obi Ogbanufe,,November 14th 2011
1038,Introducing Data Structures with Java,,406,David Cousins,Pearson,June 10th 2011
1039,"Java, XML, and the Jaxp",9780471209072,240,Arthur Griffith,John Wiley & Sons,March 5th 2002
1040,Learn Java the Hard Way,,189,Graham Mitchell,,2013
1041,Beginning Java Web Services,9781861007537,490,"Andre Tost,Meeraj Kunnumpurath,Sean Rhody",Wrox Press,September 1st 2002
1042,Java 1.5 Program Design,9780073044675,0,James P Cohoon,McGraw-Hill Science/Engineering/Math,June 1st 2004
1043,Late Night Advanced Java,9781562764074,624,Vidya Bharat,Ziff Davis Pr,December 1st 1996
1044,Java Closures and Lambda,9781430260004,250,Robert Fischer,Apress,March 24th 2015
1045,Compiling with C# and Java,9780321263605,604,Pat D. Terry,Addison Wesley Publishing Company,October 14th 2004
1046,Java Et Spring,9782746055148,290,Adrien Meaudre,Éd. ENI,2010
1047,Java Under the Hood,9781558604575,450,Allen I. Holub,Morgan Kaufmann Publishers,
1048,Programming Concepts In Java,9780921598305,532,"J.N. Patterson Hume,Christine Stephenson",Holt Software Associates,1998
1049,Schaum's Outline of Programming with Java,9780071369770,162,"Anthony Q. Baxter,Anthony Baxter,Anthony Q. Baxter",McGraw-Hill Companies,July 17th 2001
1050,Java 2 Programmer's Reference,9780072123548,447,"Herbert Schildt,Joe O'Neil",McGraw-Hill Companies,January 1st 2000
1051,Footprint Focus Java,9781908206442,112,Paul Dixon,Footprint Handbooks,January 10th 2012
1052,60 Minute Guide to Java,9781568847115,253,"Ed Tittel,Mark Gaither","John Wiley & Sons, Inc.",October 1995
1053,Dwr Java Ajax Applications,9781847192936,232,Sami Salkosuo,Packt Publishing,October 24th 2008
1054,Advanced Java: Internet Applications,9781576760963,694,Art Gittleman,Addison Wesley Longman,December 31st 2002
1055,.Net Development for Java Programmers,9781590590386,386,"Paul  Gibbons,Gary Cornell",Apress,July 31st 2002
1056,JAVA INTERVIEW QUESTION AND ANSWER FOR FRESHER TO EXPERIENCED: JAVA INTERVIEW QUESTIONS AND ANSWER,,29,S Singh,,August 26th 2015
1057,"Java For Everyone: Compatible with Java 5, 6, and 7, 2nd Edition",,624,Cay S. Horstmann,Wiley,May 1st 2012
1058,"Listening to an Earlier Java: Aesthetics, Gender, and the Music of Wayang in Central Java",9789067182737,186,Sarah Weiss,Brill Academic Publishers,January 1st 2010
1059,A Guide to Programming in Java: Java 2 Platform Standard Edition 5,9781580030724,400,Beth        Brown,"Lawrenceville Press, Inc.",December 31st 2005
1060,"Java in 21 Days, Sams Teach Yourself (Covering Java 8)",9780672337109,720,Rogers Cadenhead,Sams Publishing,January 9th 2016
1061,Programming Mobile Objects with Java [With Contains Java & Desing Patterns Code...],9780471254065,601,Jeff Nelson,John Wiley & Sons,January 11th 1999
1062,Java & Bapi Technology for SAP Java & Bapi Technology for SAP,9780761523055,432,Ken  Kroes,Premier Press,January 1st 2003
1063,Enterprise Java Development on a Budget: Leveraging Java Open Source Technologies,9781590591253,609,"Brian Sam-Bodden,Christopher M. Judd",Apress,September 24th 2004
1064,Java Practice Questions: Upgrade to Java SE 7 Programmer,,275,Esteban Herrera,,June 10th 2013
1065,"The Java Virtual Machine Specification, Java Se 7 Edition",9780133260465,608,"Tim Lindholm,Frank Yellin,Gilad Bracha",Addison-Wesley Professional,February 15th 2013
1066,Do-It-Yourself Java Games: An Introduction to Java Computer Programming,,515,"Annette M. Godtland,Leah Darst",Godtland Software Corporation,December 20th 2013
1067,Programming with VisualAge for Java Version 2.0 [With (2) Contains VisualAge for Java 2.0],9780130212986,417,John Akerley,Prentice Hall PTR,February 25th 1999
1068,programming.java: An Introduction to Programming Using Java: An Introduction to Programming Using Java,9780534371098,640,"Rick Decker,Stuart Hirshfield",Course Technology,December 24th 1999
1069,"Android Boot Camp for Developers Using Java, Comprehensive: A Beginner S Guide to Creating Your First Android Apps",9781133597209,512,"Corinne Hoisington,Hoisington",Course Technology,July 26th 2012
1070,SCJA Sun Certified Java Associate Study Guide (Exam CX-310-019) (Certification Press),9780071490030,590,"Robert Liguori,Edward G. Finegan",McGraw-Hill Osborne,September 1st 2009
1071,"Building Maintainable Software, Java Edition: Ten Guidelines for Future-Proof Code",9781491953518,168,"Joost Visser,Sylvan Rigal,Rob Van Der Leek",O'Reilly Media,January 28th 2016
1072,"Java Open Source Programming: With XDoclet, JUnit, Webwork, Hibernate",9780471463627,459,"Joe Walnes,Ara Abrahamian,Mike Cannon-Brookes,Patrick A. Lightbody",John Wiley & Sons,November 28th 2003
1073,"SCJP: Sun Certified Programmer for Java Platform, SE6 Study Guide [With CDROM]",9780470417973,531,Richard F. Raposa,Sybex,March 23rd 2009
1074,Java 8 Programmer II Study Guide: Exam 1Z0-809,9781530845996,752,Esteban Herrera,,April 7th 2016
1075,"Inside Java 2 Platform Security: Architecture, API Design, and Implementation",9780201787917,384,Li Gong,Addison-Wesley Professional,June 6th 2003
1076,Java Pitfalls: Time-Saving Solutions and Workarounds to Improve Programs,9780471361749,336,Michael C. Daconta,John Wiley & Sons,May 4th 2000
1077,"Server-Side Programming Techniques (Java(TM) Performance and Scalability, Volume 1)",9780201704297,320,Dov Bulka,Addison-Wesley Professional,June 2nd 2000
1078,"Java, La Maîtrise: Java 5 Et 6",9782212122503,200,Jérôme Bougeault,Eyrolles :Tsoft,2008
1079,Migrating from Java 1.0 to Java 1.1 [With CDROM],9781566046862,503,Daniel I. Joshi,Ventana Communications Group,July 19th 1997
1080,"Ivor Horton's Beginning Java, Java 7 Edition",,,Ivor Horton,Wrox Press,September 27th 2011
1081,Handbook of Java Syntax: A Reference to the Java Programming Language,9789526790558,78,Mikael E Olsson,Siforia,March 8th 2013
1082,Intro Java Progr Compreh&ess Java Pkg,9780132090414,,Pearson,Pearson,January 1st 2009
1083,Batik: Fabled Cloth of Java: Fabled Cloth of Java,9781462908691,522,Inger McCabe Elliott,Not Avail,June 16th 2014
1084,M257 Putting Java to Work: Java in the large,,58,Open University,The Open University,2007
1085,Complte Java Traing Crse & Java Lab Mnl,9780131028197,,Prentice Hall PTR,Prentice Hall PTR,
1086,M257 Putting Java to Work: Java everywhere,,42,Open University,The Open University,2007
1087,Decompiling Java: Bytecodes and the Java Virtual Machine,,280,Godfrey Nolan,Apress,July 29th 2004
1088,M257 Putting Java to Work: Java in the small,,50,Open University,The Open University,2007
1089,"A Hole in My Soul, My Father's Sin",9780982058770,126,L. Collins Java,Jimsam Inc. Publishing,June 1st 2009
1090,"JAVA: Java Programming For Beginners: A Simple Start To Java Programming (Written By A Software Engineer) (Programming, Java Programming Language, Computer ... Master's Handbook, Java for Kids Book 1)",,142,"Scott Sanderson,Jared Paulsen",,December 2nd 2014
1091,Java In 8 Hours : Cover All Essential Java Knowledge : Easy & Fast!: A Beginner's Guide : Start Coding Today!,,106,Ray Yao,,March 9th 2015
1092,Oracle Certified Master Java Enterprise Architect Java Ee 7: Certification Guide,9781430250012,700,B.V. Kumar,Apress,February 11th 2015
1093,"Java 8: A Beginner's Guide: Fundamental principles of Java programming (java tutorial, java for beginners, Learn Java, java programming, java 8, java guide, java programming guide for beginners)",,68,"Kevin Lynch,Learning Java",,March 31st 2015
1094,Constructing Intelligent Agents With Java: A Programmer's Guide To Smarter Applications,9780471191353,416,"Joseph P. Bigus,Jennifer Bigus",Wiley,January 7th 1998
1095,"Java Game Programming for Dummies [With Includes Soundforge Xp 4.0b, JDK, Goldwave...]",9780764501685,359,"Wayne Holder,Doug Bell",For Dummies,March 28th 1998
1096,Inside Servlets: Server-Side Programming for the Java¿ Platform (2nd Edition),9780201709063,912,Dustin R. Callaway,Addison-Wesley Professional,May 14th 2001
1097,Sams Teach Yourself Java 2 in 21 Days (4th Edition),9780672326288,840,"Rogers Cadenhead,Laura Lemay",Sams,May 13th 2004
1098,Constructing Intelligent Agents Using Java: Professional Developer's Guide [With CDROM],9780471396017,432,Joseph P. Bigus,John Wiley & Sons,March 13th 2001
1099,Be Prepared for the AP Computer Science Exam in Java,9780965485357,352,"Maria Litvin,Sally Bellacqua,Roger Frank,Dave Wittry",Skylight Pub,April 21st 2003
1100,The Essence of Object-Oriented Programming with Java and UML [With CDROM],9780201734102,320,Bruce E. Wampler,Addison-Wesley Professional,January 5th 2002
1101,Simply Java Programming: An Application-Driven Tutorial Approach,9780131426481,1300,Paul J. Deitel,Pearson,August 17th 2003
1102,Object-Oriented Software Design and Construction with Java,9780130112644,656,Dennis Kafura,Prentice Hall,February 24th 2000
1103,Java 2 Weekend Crash Course [With CDROM],9780764547683,456,"Julio Sanchez,Maria P. Canton",John Wiley & Sons,December 15th 2000
1104,Advanced Topics in Java: Core Concepts in Data Structures,9781430266198,322,Noel Kalicharan,Apress,December 30th 2013
1105,"Peranakan: Chinese Politics in Java, 1917-1942",9789812103604,,Leo Suryadinata,Cavendish Square Publishing,January 1st 2005
1106,QuickTime for Java: A Developer's Notebook: A Developer's Notebook,9780596008222,256,Chris Adamson,O'Reilly Media,January 21st 2005
1107,Guide to Web Development with Java: Understanding Website Creation,9781447124429,386,Tim Downey,Springer,February 19th 2012
1108,XML and Java¿: Developing Web Applications (2nd Edition),9780201770049,688,"Hiroshi Maruyama,Andy Clark",Addison-Wesley Professional,May 23rd 2002
1109,"L'homme de Java, tome 4 : Mama King",9782869672956,45,Pierre-Yves Gabrion,Vents d'Ouest,September 21st 1994
1110,"Cracking The Coding (I.T) Interview, 2014 ( Including 1000+ Java, DSA, C, C++ Questions/Solutions) (Cracking The Java Coding Interview 2014 Edition: Total ... Java Programming Questions and Solutions)",,,"Harry Hariom Choudhary,Gayle Anderson",United Hills USA,January 5th 2014
1111,"Java Apis, including: Jess (programming Language), Java Transaction Api, Java Naming And Directory Interface, Java Data Objects, Swing (java), Standard Widget Toolkit, Java 2d, Java Management Extensions, Java Authentication And Authorization Service",9781242601248,122,Hephaestus Books,Hephaestus Books,August 22nd 2011
1112,"Wisata Parijs van Java: Sejarah, Peradaban, Seni, Kuliner, dan Belanja",,333,Her Suganda,Kompas,2011
1113,Core Java Media Framework [With CDROM],9780130115195,500,Linden deCarmo,Prentice Hall PTR,June 24th 1999
1114,Foundations of Algorithms: Using Java Pseudocode,9780763721299,,Richard E. Neapolitan,Jones & Bartlett Publishers,February 13th 2004
1115,Java and Modern Europe: Ambiguous Encounters,9780700704330,472,Ann Kumar,Routledge/Curzon,May 27th 1997
1116,Practical Java Script Programming: With CD,9781558515130,496,"Raez Hoque,Raez Hoque",M&T Books,March 1st 1997
1117,Multimedia Introduction to Programming Using Java,9780387226811,536,David Gries,Springer Science+Business Media,September 9th 2004
